(-2570141.5198, -4376775.8889999995, 3849595.7309)
(-2570141.5077000004, -4376775.8823, 3849595.7219000002)
(-2570141.5087, -4376775.89, 3849595.7273)
(-2570141.4974, -4376775.8724, 3849595.7098)
(-2570141.4915, -4376775.8695, 3849595.7054)
(-2570141.4842, -4376775.8608, 3849595.6891)
(-2570141.4785, -4376775.8610000005, 3849595.6855)
(-2570141.4684, -4376775.8607, 3849595.6746)
(-2570141.4603999997, -4376775.8575, 3849595.6625)
(-2570141.4631, -4376775.867000001, 3849595.6646000003)
(-2570141.4608, -4376775.8716, 3849595.6619)
(-2570141.4565, -4376775.8758, 3849595.6575)
(-2570141.455, -4376775.8812, 3849595.6604)
(-2570141.4497, -4376775.8677, 3849595.6556)
(-2570141.446, -4376775.864200001, 3849595.6565)
(-2570141.4346000003, -4376775.8445999995, 3849595.6439)
(-2570141.4343000003, -4376775.8455, 3849595.6506)
(-2570141.4365, -4376775.8416, 3849595.6505)
(-2570141.4198, -4376775.8128, 3849595.6341999997)
(-2570141.4048, -4376775.796, 3849595.6261)
(-2570141.4002, -4376775.7968999995, 3849595.6243000003)
(-2570141.3774, -4376775.7853, 3849595.6132)
(-2570141.3765, -4376775.7963, 3849595.6294)
(-2570141.3719, -4376775.8006, 3849595.6226)
(-2570141.3765, -4376775.810900001, 3849595.6319)
(-2570141.3844999997, -4376775.8281000005, 3849595.639)
(-2570141.3879, -4376775.8461, 3849595.642)
